Nước ngọt,Bánh quy hỗn hợp,,,
Bánh quy phô mai,Bánh quy hỗn hợp,,,
Nước ngọt,Nước trái cây hòa tan,,,
Bánh mỳ sandwich,Hạt điều,Bánh bơ,Nước ngọt,
Bánh gạo lứt,Bánh mỳ nướng,Bánh mỳ nướng,Bánh quy phô mai,Bánh mỳ nướng
Bánh gạo sấy,Bánh gạo sấy,,,
Bánh mỳ nướng,Socola,Bánh mỳ ăn liền,Hạt điều,Bánh gạo
Bánh gạo,Bánh quy,Nước ngọt,Bánh bơ,Bánh mỳ nướng
Nước trái cây hòa tan,Bánh quy phô mai,Chips khoai tây,,
Bánh gạo lứt,,,,
Bánh gạo lứt,,,,
Bánh trái cây sấy,Bánh bơ,Nước suối,Bánh quy,
Nước ngọt,Bánh gạo lứt,Chips khoai tây,,
Kẹo sô cô la,Nước trái cây hòa tan,,,
Socola,,,,
Bánh mỳ ăn liền,,,,
Nước ngọt,Nước trái cây hòa tan,Bánh gạo lứt,Hạt điều,
Bánh mỳ sandwich,,,,
Bánh ngô,Hạt điều,Bánh gạo lứt,Nước suối,Bánh quy phô mai
Bánh mỳ ăn liền,Bánh ngô,,,
Bánh quy,Bánh mỳ ăn liền,Nước suối,Hạt điều,Bánh gạo
Nước trái cây hòa tan,Nước suối,,,
Nước ngọt,Chips khoai tây,Bánh ngô,Hạt điều,Bánh gạo
Bánh trái cây sấy,Bánh quy,Chips khoai tây,Chips khoai tây,
Kẹo sô cô la,Hạt điều,Bánh quy phô mai,,
Bánh quy phô mai,Bánh ngô,Bánh mỳ sandwich,Nước suối,Bánh gạo lứt
Bánh trái cây sấy,Nước trái cây hòa tan,,,
Bánh bơ,Nước ngọt,Bánh mỳ nướng,Nước trái cây hòa tan,
Nước ngọt,Bánh gạo sấy,Bánh gạo lứt,,
Bánh trái cây sấy,Nước ngọt,Bánh gạo sấy,,
Socola,Bánh mỳ nướng,Nước suối,Bánh quy,
Bánh ngô,Bánh mỳ sandwich,Hạt điều,,
Kẹo sô cô la,Socola,Bánh quy phô mai,Bánh bơ,Bánh mỳ sandwich
Bánh bơ,Bánh mỳ sandwich,Socola,,
Kẹo sô cô la,Nước trái cây hòa tan,Chips khoai tây,Kẹo sô cô la,
Bánh quy hỗn hợp,Bánh gạo lứt,Bánh bơ,,
Nước trái cây hòa tan,Nước ngọt,Bánh mỳ ăn liền,Hạt điều,
Hạt điều,,,,
Bánh bơ,Bánh mỳ ăn liền,Bánh ngô,Socola,
Kẹo sô cô la,Bánh ngô,Bánh quy hỗn hợp,Bánh quy hỗn hợp,Hạt điều
Bánh gạo,Bánh bơ,Bánh gạo,,
Bánh trái cây sấy,Bánh trái cây sấy,Bánh gạo,,
Bánh mỳ sandwich,Bánh gạo sấy,Bánh quy,,
Bánh gạo lứt,Bánh mỳ ăn liền,Nước ngọt,Nước trái cây hòa tan,
Kẹo sô cô la,Bánh gạo lứt,,,
Hạt điều,Bánh ngô,Bánh gạo sấy,Bánh gạo,
Kẹo sô cô la,Nước suối,Bánh mỳ ăn liền,Bánh bơ,
Bánh ngô,,,,
Nước ngọt,Bánh mỳ nướng,Bánh gạo,Nước trái cây hòa tan,
Nước suối,Hạt điều,,,
Nước trái cây hòa tan,Bánh mỳ nướng,Bánh mỳ sandwich,,
Bánh quy,Bánh quy phô mai,Bánh quy,,
Socola,Bánh bơ,,,
Bánh bơ,Bánh gạo lứt,Bánh mỳ ăn liền,Chips khoai tây,Bánh trái cây sấy
Hạt điều,Hạt điều,,,
Bánh mỳ sandwich,Bánh gạo lứt,Bánh ngô,,
Bánh trái cây sấy,Bánh quy hỗn hợp,,,
Hạt điều,Nước trái cây hòa tan,,,
Bánh ngô,Bánh quy hỗn hợp,Bánh mỳ nướng,,
Hạt điều,Bánh gạo lứt,Hạt điều,Bánh quy,
Bánh mỳ nướng,Hạt điều,Bánh trái cây sấy,Bánh mỳ sandwich,Bánh bơ
Nước suối,Bánh mỳ nướng,Bánh mỳ sandwich,Bánh mỳ nướng,Bánh trái cây sấy
Bánh mỳ ăn liền,Bánh gạo sấy,,,
Bánh ngô,Bánh gạo sấy,Nước suối,,
Bánh ngô,Bánh quy hỗn hợp,Nước ngọt,Nước ngọt,Chips khoai tây
Hạt điều,,,,
Bánh gạo sấy,,,,
Kẹo sô cô la,Nước ngọt,Bánh quy hỗn hợp,,
Bánh gạo,,,,
Chips khoai tây,Chips khoai tây,,,
Bánh mỳ sandwich,Nước suối,Bánh quy phô mai,Bánh gạo,
Hạt điều,Bánh quy hỗn hợp,Kẹo sô cô la,Bánh quy phô mai,Bánh quy phô mai
Bánh gạo lứt,Bánh quy,Bánh gạo,Bánh mỳ ăn liền,
Kẹo sô cô la,Bánh mỳ nướng,Bánh mỳ nướng,,
Bánh mỳ nướng,Socola,Bánh bơ,Bánh quy,Bánh quy hỗn hợp
Bánh quy phô mai,Bánh gạo sấy,Nước suối,Nước suối,Bánh bơ
Nước suối,Nước suối,Nước ngọt,Socola,
Nước ngọt,Bánh gạo lứt,Bánh mỳ nướng,Bánh quy phô mai,
Bánh gạo,,,,
Bánh mỳ sandwich,,,,
Hạt điều,,,,
Bánh mỳ nướng,,,,
Nước trái cây hòa tan,Bánh mỳ nướng,Bánh quy,Bánh mỳ ăn liền,
Chips khoai tây,Bánh gạo,Bánh bơ,,
Chips khoai tây,Bánh mỳ ăn liền,Bánh ngô,Chips khoai tây,
Bánh bơ,Bánh mỳ nướng,Bánh mỳ nướng,Bánh gạo,Bánh quy phô mai
Bánh mỳ sandwich,Bánh mỳ nướng,,,
Chips khoai tây,Chips khoai tây,,,
Bánh ngô,Bánh quy,Bánh gạo lứt,Chips khoai tây,Bánh mỳ nướng
Bánh mỳ nướng,,,,
Chips khoai tây,Nước trái cây hòa tan,Nước suối,,
Bánh trái cây sấy,Bánh gạo sấy,Kẹo sô cô la,Bánh gạo lứt,Bánh gạo lứt
Socola,Nước suối,,,
Nước trái cây hòa tan,Bánh bơ,Bánh trái cây sấy,Hạt điều,Nước ngọt
Bánh ngô,Bánh quy,Bánh quy,Nước ngọt,
Bánh gạo,Kẹo sô cô la,,,
Kẹo sô cô la,Bánh ngô,Bánh mỳ nướng,Bánh quy phô mai,Chips khoai tây
Chips khoai tây,Bánh mỳ ăn liền,Nước ngọt,Nước ngọt,
Nước ngọt,Bánh gạo,Kẹo sô cô la,Bánh quy,
Bánh ngô,Bánh quy phô mai,,,
